brand,ats,identifier,url,verified_name,jobs,sg_jobs,ai_confidence
6WIND,ai (browser),https://www.6wind.com,https://www.6wind.com,,-1,-1,low
AACSB International,workable (browser),https://apply.workable.com/aacsb-international/,https://apply.workable.com/aacsb-international/,aacsbinternational,-1,-1,high
ACWA Power,ai (browser),https://careers.acwapower.com/viewalljobs/,https://careers.acwapower.com/viewalljobs/,,-1,-1,high
ADLINK Technology,ai (browser),https://amproadlinktechnologyinc.applytojob.com/apply,https://amproadlinktechnologyinc.applytojob.com/apply,,-1,-1,high
ADM,ai (browser),https://www.adm-asia.com/en-us/culture-and-careers/join-team-adm/,https://www.adm-asia.com/en-us/culture-and-careers/join-team-adm/,,-1,-1,high
AGC,ai (browser),https://www.agc-asiapacific.com/careers/,https://www.agc-asiapacific.com/careers/,,-1,-1,high
AIMA,ai (browser),https://www.aima.org/about/opportunities-at-aima.html,https://www.aima.org/about/opportunities-at-aima.html,,-1,-1,low
APR Energy,ai (browser),https://www.aprenergy.com/careers/,https://www.aprenergy.com/careers/,,-1,-1,high
ASSA ABLOY,ai (browser),https://www.assaabloy.com/career/en/open-positions,https://www.assaabloy.com/career/en/open-positions,,-1,-1,high
AXA,icims (browser),https://careers.axa.com/careers-home/jobs,https://careers.axa.com/careers-home/jobs,axa,-1,-1,high
Absolutdata,ai (browser),https://builtin.com/company/absolutdata/jobs,https://builtin.com/company/absolutdata/jobs,,-1,-1,medium
Academy Xi,workable (browser),https://apply.workable.com/academyxi/,https://apply.workable.com/academyxi/,academyxi,-1,-1,high
Acer,ai (browser),https://careers.acer.com/,https://careers.acer.com/,,-1,-1,high
Acronis,workday,https://acronis.wd502.myworkdayjobs.com/acronis_careers,https://acronis.wd502.myworkdayjobs.com/acronis_careers,acronis,35,-1,high
Actualize Consulting,ai (browser),https://www.actualizeconsulting.com/current-openings.html,https://www.actualizeconsulting.com/current-openings.html,,-1,-1,high
Adidas,ai (browser),https://jobs.adidas-group.com/,https://jobs.adidas-group.com/,,-1,-1,high
Adways,smartrecruiters,AdwaysInteractive,https://careers.smartrecruiters.com/AdwaysInteractive,Adways Interactive,3,0,high
AerCap,ai (browser),https://www.aercap.com/careers/career-opportunities,https://www.aercap.com/careers/career-opportunities,,-1,-1,high
Aersale,ai (browser),https://www.aersale.com/careers,https://www.aersale.com/careers,,-1,-1,high
Afiniti,ai (browser),https://www.afiniti.com/jobs/,https://www.afiniti.com/jobs/,,-1,-1,high
Ahlstrom,successfactors (browser),https://career5.successfactors.eu/career?company=Ahlstrom,https://career5.successfactors.eu/career?company=Ahlstrom,ahlstrom,-1,-1,high
Air Niugini,oracle,https://iaahnf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,https://iaahnf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,airniugini,1,-1,high
AirTrunk,ai (browser),https://airtrunk.com/careers/current-opportunities/,https://airtrunk.com/careers/current-opportunities/,,-1,-1,high
Airbnb,ai (browser),https://careers.airbnb.com/,https://careers.airbnb.com/,,-1,-1,high
Airtac,ai (browser),https://sg.jobstreet.com/companies/airtac-international-singapore-pte-ltd-168558896868106,https://sg.jobstreet.com/companies/airtac-international-singapore-pte-ltd-168558896868106,,-1,-1,low
Alba Berlin,ai (browser),https://alba-ewaste.sg/career/,https://alba-ewaste.sg/career/,,-1,-1,low
AliExpress,ai (browser),https://aidc-jobs.alibaba.com/home,https://aidc-jobs.alibaba.com/home,,-1,-1,high
Allegis Group,icims (browser),https://www.allegisgroup.com/en/careers,https://www.allegisgroup.com/en/careers,allegisgroup,-1,-1,high
Allot Communications,ai (browser),https://www.allot.com/careers/search/,https://www.allot.com/careers/search/,,-1,-1,high
Altimetrik,ai (browser),https://careers.altimetrik.com/,https://careers.altimetrik.com/,,-1,-1,high
Amadeus,ai (browser),https://amadeus.com/en/careers/overview,https://amadeus.com/en/careers/overview,,-1,-1,high
Ammann,ai (browser),https://jobs.ammann.com/?locale=en_US,https://jobs.ammann.com/?locale=en_US,,-1,-1,high
Amoy,ai (browser),https://www.amoy.com/en/career,https://www.amoy.com/en/career,,-1,-1,low
Anchnet,ai (browser),https://www.achnet.com/business/achnet/public/careers,https://www.achnet.com/business/achnet/public/careers,,-1,-1,low
Andritz,successfactors (browser),https://career2.successfactors.eu/career?site=&company=andritzag&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career2.successfactors.eu/career?site=&company=andritzag&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,andritz,-1,-1,high
Anglo American,ai (browser),https://www.angloamerican.com/careers/job-opportunities,https://www.angloamerican.com/careers/job-opportunities,,-1,-1,high
Antin Infrastructure Partners,ai (browser),https://www.antin-ip.com/careers,https://www.antin-ip.com/careers,,-1,-1,high
Aon,icims (browser),https://cookie-policy-scripts.icims.com/aon/jobs.aon.com/script.js,https://cookie-policy-scripts.icims.com/aon/jobs.aon.com/script.js,aon,-1,-1,high
Apave,ai (browser),https://www.apave.com/en/Join-Us/toutes-nos-offres,https://www.apave.com/en/Join-Us/toutes-nos-offres,,-1,-1,high
Apple,ai (browser),https://jobs.apple.com/en-us/search?location=united-states-USA,https://jobs.apple.com/en-us/search?location=united-states-USA,,-1,-1,high
April,ai (browser),https://www.aprilasia.com/en/careers/careers-at-april,https://www.aprilasia.com/en/careers/careers-at-april,,-1,-1,low
Aptitude Software,ai (browser),https://www.aptitudesoftware.com/careers/,https://www.aptitudesoftware.com/careers/,,-1,-1,high
Aqua Security,ai (browser),https://www.aquasec.com/careers/,https://www.aquasec.com/careers/,,-1,-1,high
Arcserve,ai (browser),https://www.arcserve.com/careers,https://www.arcserve.com/careers,,-1,-1,high
Ardmac,ai (browser),https://www.ardmac.com/open-positions/,https://www.ardmac.com/open-positions/,,-1,-1,high
Arisaig Partners,ai (browser),https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Flinkedin%2Fcareers%2Farisaig-partners,https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Flinkedin%2Fcareers%2Farisaig-partners,,-1,-1,low
Arjo,successfactors (browser),https://career5.successfactors.eu/career?site=&company=arjohuntle&lang=en_GB&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career5.successfactors.eu/career?site=&company=arjohuntle&lang=en_GB&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,arjo,-1,-1,high
Arper,ai (browser),https://www.arper.com/en_GB/careers,https://www.arper.com/en_GB/careers,,-1,-1,low
Arton Capital,ai (browser),https://www.artoncapital.com/careers/,https://www.artoncapital.com/careers/,,-1,-1,low
Ascendion,ai (browser),https://ascendion.com/careers/,https://ascendion.com/careers/,,-1,-1,high
Asia Paint,successfactors (browser),https://career8.successfactors.com/career?site=&company=C0013041173P&lang=en_GB&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career8.successfactors.com/career?site=&company=C0013041173P&lang=en_GB&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,asiapaint,-1,-1,high
