brand,url,canonical_url,ats,identifier,verified_name,jobs,sg_jobs,country,language,source,confidence_score,confidence_level,validation_status,reasons,is_primary,needs_review,ats_confidence,ats_verification_status,ats_evidence,ats_alternatives
Air Canada,https://boards.greenhouse.io/air,https://boards.greenhouse.io/air,greenhouse,air,Air,35,0,,,ats_probe,0.925,high,validated,"identity_strong,source_ats_probe,active_jobs",1,0,1.0,verified,original_url:https://boards.greenhouse.io/air;api_verified:greenhouse,
Air Canada,https://careers.smartrecruiters.com/Air,https://careers.smartrecruiters.com/Air,smartrecruiters,Air,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Air;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/Air-canada,https://careers.smartrecruiters.com/Air-canada,smartrecruiters,Air-canada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Air-canada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/AirCanada,https://careers.smartrecruiters.com/AirCanada,smartrecruiters,AirCanada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/AirCanada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/Aircanada,https://careers.smartrecruiters.com/Aircanada,smartrecruiters,Aircanada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Aircanada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/air,https://careers.smartrecruiters.com/air,smartrecruiters,air,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/air;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/air-canada,https://careers.smartrecruiters.com/air-canada,smartrecruiters,air-canada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/air-canada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/aircanada,https://careers.smartrecruiters.com/aircanada,smartrecruiters,aircanada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/aircanada;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/Eu,https://careers.smartrecruiters.com/Eu,smartrecruiters,Eu,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Eu;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/Eu-yan-sang,https://careers.smartrecruiters.com/Eu-yan-sang,smartrecruiters,Eu-yan-sang,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Eu-yan-sang;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/EuYanSang,https://careers.smartrecruiters.com/EuYanSang,smartrecruiters,EuYanSang,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/EuYanSang;api_verified:smartrecruiters,
