Entity,Frequency
Hitachi,18
Chevron,17
Goldman Sachs,16
Shopee,16
KKR,15
Schneider Electric,14
Deloitte,14
Shell,11
BP,11
Pfizer,10
HSBC,10
Amazon,10
General Atlantic,10
Samsung,9
Google,9
Sony,9
UBS,8
NTT,8
CapitaLand,8
Prologis,8
Panasonic,7
Oracle,7
Abbott,7
KPMG,6
Morgan Stanley,6
SAP,6
IBM,6
China Railway,6
Brookfield,6
Manulife,6
AirTrunk,6
NEC,5
Citigroup,5
Maersk,5
Roche,5
PwC,5
Equinix,5
Celanese,5
Keppel,5
SoftBank Vision Fund,5
Mead Johnson,4
Procter & Gamble,4
Lazada,4
DHL,4
Meta,4
TotalEnergies,4
Singtel,4
Siemens,3
Fujitsu,3
Cisco,3
UPS,3
Qualcomm,3
FedEx,3
McKinsey,3
Credit Suisse,3
Apple,3
Novartis,3
Microsoft,3
GE Vernova,3
Macquarie Group,3
Linde,3
Grab,3
JFE,3
Sime Darby,3
Flextronics,3
Stonepeak,3
Sankyo,3
Caterpillar,3
ESR,3
SK Group,3
CMA CGM,3
Sinopec,3
Macquarie,3
Mercer,3
PCCW,3
Garena,3
EdgeConneX,3
IQ EQ,3
Canadian Solar,3
Genting,3
GCL,3
Hyatt,2
Hilton,2
Barclays,2
Marriott,2
ABB,2
JPMorgan,2
Boston Consulting Group,2
Nestle,2
Johnson & Johnson,2
Unilever,2
Airbnb,2
NVIDIA,2
Uber,2
Stripe,2
Citibank,2
Bain Capital,2
EY,2
PowerChina,2
Tosoh,2
BHP Billiton,2
Cardinal Health,2
Atlas,2
Mizuho,2
CGI,2
Acciona,2
Safran,2
Hoya,2
Samyang Foods,2
PayPal,2
Dow Jones,2
bitFlyer,2
Compass Group,2
Tsuchiya,2
Toyota Tsusho,2
Idemitsu,2
Zoetis,2
Trainocate,2
Comba Telecom,2
Yanmar,2
Vale,2
McDonald's,2
Guntner,2
Medtronic,2
Oaktree Capital,2
BayWa,2
Agilent Technologies,2
Catalent,2
ENGIE,2
KKR (Kohlberg Kravis Roberts),2
Antin Infrastructure Partners,2
Manila Water,2
Thales,2
Dentsu,2
Mapletree,2
Auto & General,2
Tech Data,2
Zensho,2
ABS,2
Tim Hortons,2
Fosun,2
Teekay,2
Ritz-Carlton,2
Getinge,2
MAIF,2
Parker Hannifin,2
Hakuhodo,2
Leica,2
Thomson,2
Singapore Technologies,2
IGIS,2
Coca-Cola,2
ZPMC,2
Kantar,2
Elizabeth Arden,2
Foxconn,2
Singha,2
Hanwha,2
Blackstone,2
Kobelco,2
Walmart,2
Midea,2
Michelin,2
Huawei,2
Galderma,2
Otsuka,2
William Grant & Sons,2
Nomura,2
Carrier,2
Rockwell Automation,2
CEVA Logistics,2
Saison,2
Odfjell,2
Anglo American,2
Alliance One International,2
JustCo,2
Airtrunk,2
Habyt,2
Applied Materials,2
LGT,2
Vertex Ventures,2
Resonac,2
Yang Ming,2
Pratt & Whitney,2
TCL,2
Hatch,2
Mitsubishi Heavy Industries,2
Aviva,2
Telenor,2
Swiss Life,2
Nidec,2
Interpublic Group,2
Portcullis,2
Aon,2
Air Liquide,2
Citadel Securities,2
Canon,2
Savills,2
Ross Video,2
DNV,2
Fiserv,2
M&G,2
Marubeni,2
BW Offshore,2
General Motors,2
Amadeus,2
DaVita,2
Autobacs,2
Matsui,2
Toshiba,2
Amorepacific,2
Marmon,2
British American Tobacco,2
PSA,2
Stolt-Nielsen,2
Cargill,2
Julius Baer,2
Sephora,2
CJ Group,2
Acronis,2
Bright Food,2
BlackRock,2
Suntory,2
Konica Minolta,2
CDPQ,2
Bank of China,2
Keppel Corporation,2
Standard Chartered,2
Blackstone/BCP,2
Bain & Company,1
Toppan,1
Johnson Matthey,1
Coca-Cola/Nestle,1
Johnson Health,1
Broadcom,1
Robert Bosch,1
Adani,1
JGC Corporation,1
Toyo Seikan,1
Nippon Express,1
K.I.T. Group,1
Goodwin Procter,1
Salesforce,1
Eaton/UPS,1
George P. Johnson,1
Ernst Russ,1
Nohara Group,1
Riello UPS,1
Intel,1
ISG,1
China Reinsurance,1
Bosch,1
Chevron Phillips,1
Princeton Advisory,1
LG Electronics,1
Seamless,1
Exxon,1
West of England,1
BASF,1
Bird Electronic,1
Red Eye Management,1
Andritz,1
Lawo,1
Ultrapure & Industrial Services,1
Kredivo,1
Techwing,1
Hexamine,1
Malaysia Marine and Heavy Engineering,1
Laura Ashley,1
Korea Exchange,1
Tracerco,1
Lantech,1
Macnica,1
Subcom,1
Asia Pacific Wire & Cable,1
OQ (Oman Oil Company),1
CME Group,1
JET Semi-Con,1
General Reinsurance,1
Sapura,1
Lindt & Sprungli,1
China Hospital Corporation,1
Theon Therapeutics,1
Mars,1
Cofense,1
