brand,url,note
1&1,https://www.ionos-group.com/jobs-career/job-search.html,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
6WIND,https://www.6wind.com,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
A-Gas,https://www.agas.com/za/careers/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
A. Raymond,https://www.raymondwest.com/our-company/careers,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
A.P. Morling,https://yingling.aero/careers-open-positions/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AACSB International,https://www.aacsb.edu/about-us/careers,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AB InBev,https://www.anheuser-busch.com/careers-early-career-full-time,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ABC Cooking Studio,https://www.abckitchen.nyc/careers/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ABS,https://www.americanbatterysolutions.com/careers,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ACI Ventilatoren,https://www.workaci.com/about-aci/careers,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ACM Research,https://acmwillowrun.org/careers/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ACWA Power,https://career23.sapsf.com/career?site=&company=acwapowerc&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ADLINK Technology,https://www.spectrumreach.com/404,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ADM,https://www.e-adm.com/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AECOM,https://aecom.com/careers/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AEON,https://aeon-eng.com/careers/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AGC,https://agccareers.com/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AGV,https://www.proxaut.com/en/work-with-us,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AIER,https://www.aierindia.com/jobseeker,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AIMA,https://www.aima.org/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AIWA,https://aiwamediagroup.com/career/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AMC,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25572&siteid=5197,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AOGB,https://careers-ovg.icims.com/jobs/intro,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
APG,https://apgsolutions.com/careers?srsltid=AfmBOopMwe8KaTkdhekWvVr_Of9MKcnlZ-Sv4C3HByJCJBL2TYmhDnZ-,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
APR Energy,https://www.aprenergy.com/careers/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ARINC,https://www.astronics.com/careers,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ASM,https://www.asm.com/careers,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
ASSA ABLOY,https://www.assaabloy.com/career/en,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AUMA,https://auma-drives.com/en/company/careers/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
AXA,https://careers.axa.com/careers-home/,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
Aarki,https://apply.workable.com/aarki,"URL loads but no jobs extracted — aggregator or per-site tuning, NOT re-discovery"
