brand,ats,identifier,url,verified_name,jobs,sg_jobs,needs_review,src,ai_confidence
ABC Arbitrage,greenhouse,abc,https://boards.greenhouse.io/abc,ThoughtWorks_new,24,1,1.0,api_sniff,
ABC Cooking Studio,greenhouse,abc,https://boards.greenhouse.io/abc,ThoughtWorks_new,24,1,1.0,api_sniff,
ADB SAFEGATE,successfactors (browser),https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,adbsafegate,-1,-1,1.0,api_sniff,
ADP,ai (browser),https://jobs.adp.com/en/,https://jobs.adp.com/en/,,-1,-1,,ai,high
AIMA,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Adways,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Air Canada,greenhouse,air,https://boards.greenhouse.io/air,Air,37,0,0.0,api_sniff,
Air Charter Service,greenhouse,air,https://boards.greenhouse.io/air,Air,37,0,0.0,api_sniff,
Air Cruisers,greenhouse,air,https://boards.greenhouse.io/air,Air,37,0,0.0,api_sniff,
Air Liquide,greenhouse,air,https://boards.greenhouse.io/air,Air,37,0,0.0,api_sniff,
Air Niugini,greenhouse,air,https://boards.greenhouse.io/air,Air,37,0,0.0,api_sniff,
Air Premia,greenhouse,air,https://boards.greenhouse.io/air,Air,37,0,0.0,api_sniff,
Allied Automotive,greenhouse,allied,https://boards.greenhouse.io/allied,Allied Mechanical,5,0,0.0,api_sniff,
Antin Infrastructure Partners,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Apparel Resource,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Arisaig Partners,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Arjo,successfactors (browser),https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,arjo,-1,-1,0.0,api_sniff,
Arper,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Astellar,ai (browser),https://careers.astellas.com/,https://careers.astellas.com/,,-1,-1,,ai,high
BQT Solutions,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
BW Offshore,greenhouse,bw,https://boards.greenhouse.io/bw,BW,12,0,0.0,api_sniff,
Belden,successfactors (browser),https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,belden,-1,-1,0.0,api_sniff,
Berkeley Energy,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Bird Electronic,greenhouse,bird,https://boards.greenhouse.io/bird,Bird,39,0,0.0,api_sniff,
Blue Yonder,lever,blue,https://jobs.lever.co/blue,,7,0,0.0,api_sniff,
Bluetti,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Bound4Blue,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Brady Corporation,greenhouse,brady,https://boards.greenhouse.io/brady,Brady Services,43,0,0.0,api_sniff,
CallTower,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Capital Drilling,lever,capital,https://jobs.lever.co/capital,,49,0,0.0,api_sniff,
Capital Economics,lever,capital,https://jobs.lever.co/capital,,49,0,0.0,api_sniff,
Charles River,greenhouse,charles,https://boards.greenhouse.io/charles,charles,4,0,0.0,api_sniff,
Clariant,successfactors (browser),https://performancemanager.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,clariant,-1,-1,0.0,api_sniff,
ClearCube,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Contenur,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
DBS,workday,https://dbs.wd3.myworkdayjobs.com/Dbs_Careers,https://dbs.wd3.myworkdayjobs.com/Dbs_Careers,dbs,1407,-1,0.0,api_sniff,
Delvaux,workday,https://richemont.wd3.myworkdayjobs.com/richemont,https://richemont.wd3.myworkdayjobs.com/richemont,richemont,1169,-1,1.0,api_sniff,
Detpak,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Doosan Bobcat,successfactors (browser),https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,doosanbobcat,-1,-1,1.0,api_sniff,
EMC,oracle,https://iawmqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/careers,https://iawmqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/careers,emc,362,-1,,ai,high
ESMO,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Eksons,ai (browser),https://corporate.exxonmobil.com/careers,https://corporate.exxonmobil.com/careers,,-1,-1,,ai,high
Entrepreneur First,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Exxon,ai (browser),https://corporate.exxonmobil.com/careers,https://corporate.exxonmobil.com/careers,,-1,-1,,ai,high
Fagerdala,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Felicite IP Consulting,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Fenix Outdoor,smartrecruiters,fenix,https://careers.smartrecruiters.com/fenix,Fenix,20,0,0.0,api_sniff,
Flokk,ai (browser),https://info.jazzhr.com/job-seekers.html,https://info.jazzhr.com/job-seekers.html,,-1,-1,,ai,low
Freshly,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Frontier Strategy Group,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
GEOS,workday,https://fugro.wd3.myworkdayjobs.com/Careers,https://fugro.wd3.myworkdayjobs.com/Careers,fugro,151,-1,1.0,api_sniff,
Gate Gourmet,lever,gate,https://jobs.lever.co/gate,,19,0,0.0,api_sniff,
General Motors,greenhouse,general,https://boards.greenhouse.io/general,General Interest,1,0,0.0,api_sniff,
General Reinsurance,greenhouse,general,https://boards.greenhouse.io/general,General Interest,1,0,0.0,api_sniff,
Gleeds,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Go City,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Harris,ai (browser),https://careers.l3harris.com/en,https://careers.l3harris.com/en,,-1,-1,,ai,low
Hatch,successfactors (browser),https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,hatch,-1,-1,0.0,api_sniff,
Haycarb,ai (browser),https://www.applicantstack.com/job-not-found/,https://www.applicantstack.com/job-not-found/,,-1,-1,,ai,low
Hershey,successfactors (browser),https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,hershey,-1,-1,0.0,api_sniff,
Hiperbaric,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
INTERTANKO,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Impiana Hotels,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
India Infrastructure Fund,greenhouse,india,https://boards.greenhouse.io/india,AQR India,11,0,0.0,api_sniff,
Indiba,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Infratil,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Ingenico,successfactors (browser),https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,ingenico,-1,-1,0.0,api_sniff,
Integra LifeSciences,greenhouse,integra,https://boards.greenhouse.io/integra,IntegraFEC,7,0,1.0,api_sniff,
International Trademark Association,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Ion Beam Applications,lever,ion,https://jobs.lever.co/ion,,66,0,0.0,api_sniff,
Japan Real Estate Institute,greenhouse,japan,https://boards.greenhouse.io/japan,Mirakl - Japan,3,0,0.0,api_sniff,
Kaya,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Kennametal,successfactors (browser),https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,kennametal,-1,-1,0.0,api_sniff,
Keolis,successfactors (browser),https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager5.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,keolis,-1,-1,0.0,api_sniff,
Knomo,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
Korea Exchange,greenhouse,korea,https://boards.greenhouse.io/korea,SIE KOREA,1,0,0.0,api_sniff,
Korea Investment Corporation,greenhouse,korea,https://boards.greenhouse.io/korea,SIE KOREA,1,0,0.0,api_sniff,
Korea Investment Partners,greenhouse,korea,https://boards.greenhouse.io/korea,SIE KOREA,1,0,0.0,api_sniff,
Korea Venture Investment,greenhouse,korea,https://boards.greenhouse.io/korea,SIE KOREA,1,0,0.0,api_sniff,
Kredivo,ai (browser),https://apply.workable.com/oops,https://apply.workable.com/oops,,-1,-1,,ai,low
