brand,ats,identifier,url,verified_name,jobs,sg_jobs,needs_review,src,ai_confidence
6WIND,ai (browser),https://www.6wind.com,https://www.6wind.com,,-1,-1,,ai,low
AACSB International,ai (browser),https://www.aacsb.edu/about-us/careers,https://www.aacsb.edu/about-us/careers,,-1,-1,,ai,low
ACS,workday,https://acs.wd5.myworkdayjobs.com/AcsCareers,https://acs.wd5.myworkdayjobs.com/AcsCareers,acs,63,-1,0.0,api_sniff,
ACWA Power,successfactors (browser),https://career23.sapsf.com/career?site=&company=acwapowerc&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career23.sapsf.com/career?site=&company=acwapowerc&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,acwapower,-1,-1,,ai,low
ADLINK Technology,ai (browser),https://www.spectrumreach.com/404,https://www.spectrumreach.com/404,,-1,-1,,ai,low
ADM,ai (browser),https://www.e-adm.com/,https://www.e-adm.com/,,-1,-1,,ai,high
ADP Corporation,ai (browser),https://jobs.adp.com/en/,https://jobs.adp.com/en/,,-1,-1,,ai,high
AFRY,smartrecruiters,afry,https://careers.smartrecruiters.com/afry,AFRY,1014,0,0.0,api_sniff,
AGC,ai (browser),https://agccareers.com/,https://agccareers.com/,,-1,-1,,ai,low
AICA,ai (browser),https://aica.com/careers/,https://aica.com/careers/,,-1,-1,,ai,low
AIG,workday,https://aig.wd1.myworkdayjobs.com/Aig,https://aig.wd1.myworkdayjobs.com/Aig,aig,500,-1,0.0,api_sniff,
ALTEN,smartrecruiters,alten,https://careers.smartrecruiters.com/alten,ALTEN,1128,0,0.0,api_sniff,
AMD,icims (browser),https://careers.amd.com/careers-home/jobs,https://careers.amd.com/careers-home/jobs,amd,-1,-1,,ai,high
APR Energy,ai (browser),https://www.aprenergy.com/careers/,https://www.aprenergy.com/careers/,,-1,-1,,ai,low
ASSA ABLOY,ai (browser),https://www.assaabloy.com/career/en,https://www.assaabloy.com/career/en,,-1,-1,,ai,high
AXA,icims (browser),https://cookie-policy-scripts.icims.com/axa/careers.axa.com/script.js,https://cookie-policy-scripts.icims.com/axa/careers.axa.com/script.js,axa,-1,-1,0.0,api_sniff,
AXS,greenhouse,axs,https://boards.greenhouse.io/axs,AXS,44,0,0.0,api_sniff,
Aarki,workable (browser),https://apply.workable.com/aarki/,https://apply.workable.com/aarki/,aarki,-1,-1,,ai,low
AboitizPower,smartrecruiters,aboitizpower,https://careers.smartrecruiters.com/aboitizpower,AboitizPower,1,0,1.0,api_sniff,
Absolutdata,workable (browser),https://apply.workable.com/absolutdata/,https://apply.workable.com/absolutdata/,absolutdata,-1,-1,,ai,low
Academy Xi,ai (browser),https://academyxi.com/careers/,https://academyxi.com/careers/,,-1,-1,,ai,low
Accelya,ai (browser),https://w3.accelya.com/careers/,https://w3.accelya.com/careers/,,-1,-1,,ai,low
Accenture,workday,https://accenture.wd103.myworkdayjobs.com/AccentureCareers,https://accenture.wd103.myworkdayjobs.com/AccentureCareers,accenture,2000,-1,,ai,high
Accor,smartrecruiters,accor,https://careers.smartrecruiters.com/accor,Accor,532,4,0.0,api_sniff,
Acer,ai (browser),https://careers.acer.com/,https://careers.acer.com/,,-1,-1,,ai,high
Acronis,ai (browser),https://www.acronis.com/en/careers/,https://www.acronis.com/en/careers/,,-1,-1,,ai,high
Actualize Consulting,ai (browser),https://www.actualizeconsulting.com/careers.html,https://www.actualizeconsulting.com/careers.html,,-1,-1,,ai,low
Adams Street Partners,greenhouse,adamsstreetpartners,https://boards.greenhouse.io/adamsstreetpartners,Adams Street Partners,13,1,0.0,api_sniff,
Adobe,phenom (browser),https://careers.adobe.com/us/en/search-results?keywords=%7Bsearch_term_string%7D,https://careers.adobe.com/us/en/search-results?keywords=%7Bsearch_term_string%7D,adobe,-1,-1,,ai,high
AerCap,ai (browser),https://www.aercap.com/careers/life-at-aercap,https://www.aercap.com/careers/life-at-aercap,,-1,-1,,ai,high
Aeries,ai (browser),https://aeries.com/careers/,https://aeries.com/careers/,,-1,-1,,ai,low
Aersale,ai (browser),https://www.aersale.com/careers,https://www.aersale.com/careers,,-1,-1,,ai,low
Afiniti,ai (browser),https://www.afiniti.com/careers/,https://www.afiniti.com/careers/,,-1,-1,,ai,low
Agilent Technologies,workday,https://agilent.wd5.myworkdayjobs.com/Agilent_Careers,https://agilent.wd5.myworkdayjobs.com/Agilent_Careers,agilent,296,-1,0.0,api_sniff,
Agilysys,greenhouse,agilysys,https://boards.greenhouse.io/agilysys,Agilysys,13,2,0.0,api_sniff,
Agoda,greenhouse,agoda,https://boards.greenhouse.io/agoda,Agoda,269,8,0.0,api_sniff,
Ahlstrom,successfactors (browser),https://career5.successfactors.eu/career?company=Ahlstrom,https://career5.successfactors.eu/career?company=Ahlstrom,ahlstrom,-1,-1,0.0,api_sniff,
AirAsia,workday,https://airasia.wd3.myworkdayjobs.com/Careers,https://airasia.wd3.myworkdayjobs.com/Careers,airasia,155,-1,0.0,api_sniff,
Airtac,ai (browser),https://global.airtac.com,https://global.airtac.com,,-1,-1,,ai,low
Airwallex,ai (browser),https://careers.airwallex.com,https://careers.airwallex.com,,-1,-1,,ai,high
Alba Berlin,ai (browser),https://www.albaberlin.de/verein/jobs-ausbildung/stellenausschreibungen/,https://www.albaberlin.de/verein/jobs-ausbildung/stellenausschreibungen/,,-1,-1,,ai,low
AliExpress,ai (browser),https://www.aliexpress.com/s/error/404,https://www.aliexpress.com/s/error/404,,-1,-1,,ai,low
Alibaba,ai (browser),https://talent.alibaba.com/en/home,https://talent.alibaba.com/en/home,,-1,-1,,ai,high
Alitrip,ai (browser),https://store.taobao.com/shop/noshop.htm,https://store.taobao.com/shop/noshop.htm,,-1,-1,,ai,low
AlixPartners,greenhouse,alixpartners,https://boards.greenhouse.io/alixpartners,AlixPartners,113,3,0.0,api_sniff,
Allegheny Technologies,ai (browser),https://www.atimaterials.com/Pages/default.aspx,https://www.atimaterials.com/Pages/default.aspx,,-1,-1,,ai,low
Allegis Group,icims (browser),https://careers-actalentservices.icims.com/jobs/intro?mobile=false,https://careers-actalentservices.icims.com/jobs/intro?mobile=false,allegisgroup,-1,-1,1.0,api_sniff,
Allot Communications,ai (browser),https://www.allot.com/careers/,https://www.allot.com/careers/,,-1,-1,,ai,low
Allstate,workday,https://allstate.wd5.myworkdayjobs.com/Allstate_Careers,https://allstate.wd5.myworkdayjobs.com/Allstate_Careers,allstate,464,-1,0.0,api_sniff,
Altimetrik,ai (browser),https://careers.altimetrik.com/,https://careers.altimetrik.com/,,-1,-1,,ai,low
Amadeus,ai (browser),https://amadeus.com/en/careers/overview,https://amadeus.com/en/careers/overview,,-1,-1,,ai,high
Amgen,workday,https://amgen.wd1.myworkdayjobs.com/Careers,https://amgen.wd1.myworkdayjobs.com/Careers,amgen,1606,-1,0.0,api_sniff,
Ammann,ai (browser),https://jobs.ammann.com/,https://jobs.ammann.com/,,-1,-1,,ai,low
Amneal,oracle,https://hcfa.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,https://hcfa.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,amneal,87,-1,0.0,api_sniff,
Amoy,ai (browser),https://www.amoy.com/tc/index.html,https://www.amoy.com/tc/index.html,,-1,-1,,ai,low
Ampol,smartrecruiters,ampol,https://careers.smartrecruiters.com/ampol,Ampol,115,0,0.0,api_sniff,
Analog Devices,workday,https://analogdevices.wd1.myworkdayjobs.com/External,https://analogdevices.wd1.myworkdayjobs.com/External,analogdevices,980,-1,1.0,api_sniff,
Analogfolk,lever,analogfolk,https://jobs.lever.co/analogfolk,,2,0,1.0,api_sniff,
Anchnet,ai (browser),https://www.anchnet.com/,https://www.anchnet.com/,,-1,-1,,ai,low
Andritz,ai (browser),https://www.andritz.com/careers-en,https://www.andritz.com/careers-en,,-1,-1,,ai,high
Anord Mardix,workday,https://flextronics.wd1.myworkdayjobs.com/Anord_Mardix_Careers,https://flextronics.wd1.myworkdayjobs.com/Anord_Mardix_Careers,flextronics,89,-1,1.0,api_sniff,
Anthem,workday,https://elevancehealth.wd1.myworkdayjobs.com/ANT,https://elevancehealth.wd1.myworkdayjobs.com/ANT,elevancehealth,393,-1,,ai,high
Apave,taleo (browser),https://apave.taleo.net,https://apave.taleo.net,apave,-1,-1,,ai,low
AppLovin,greenhouse,applovin,https://boards.greenhouse.io/applovin,AppLovin,29,3,0.0,api_sniff,
