brand,confidence,source,freq,sg_entities,foreign_branch,sample_entities
Meta,high,entity_results,4.0,155,0,SMART DIGITAL META PTE. LTD. | META SOFTWARE PTE. LTD. | META SYNC ASIA PTE. LTD.
Keppel,high,entity_results,5.0,154,0,KEPPEL NETWORKS PTE. LTD. | KEPPEL INTEGRATED ENGINEERING LIMITED | KEPPEL DC REIT MANAGEMENT PTE. LTD.
CapitaLand,high,entity_results,8.0,106,0,CAPITALAND INDIA LOGISTICS II PTE. LTD. | CAPITALAND ASCOTT TRUST MANAGEMENT LIMITED | CAPITALAND CHINA ALPHA HOLDINGS PTE. LTD.
Mapletree,high,entity_results,2.0,94,0,MAPLETREE DEXTRA PTE. LTD. | MAPLETREE FORTRESS PTE. LTD. | MAPLETREE BUSINESS CITY LLP
Apple,high,entity_results,3.0,88,0,BIG APPLE TECHNOLOGY PRIVATE LIMITED | AN APPLE A DAY PTE. LTD. | APPLE ALLEY PTE. LTD.
KKR,high,entity_results,15.0,80,0,KKR ASIA PACIFIC INFRASTRUCTURE HOLDINGS III PTE. LTD. | KKR ILLUMINATE GP PTE. LTD. | KKR STELLA AGGREGATOR PTE. LTD.
General Atlantic,high,entity_results,10.0,80,0,GENERAL ATLANTIC SINGAPORE PPIL PTE. LTD. | GENERAL ATLANTIC SINGAPORE XMYA II PTE. LTD. | GENERAL ATLANTIC SINGAPORE SPV 88 PTE. LTD.
Prologis,high,entity_results,8.0,79,0,PROLOGIS SOUTH ASIA FF2 PTE. LTD. | PROLOGIS SOUTH ASIA INVESTMENT 2 PTE. LTD. | PROLOGIS ZHENGZHOU AIRPORT LOGISTICS CENTER PTE. LTD.
NTT,high,entity_results,8.0,48,1,NTT DATA BUSINESS SOLUTIONS SINGAPORE PTE. LTD. | NTT COMMUNICATIONS WORLD NETWORK (S) PTE. LTD. | NTT GLOBAL DATA CENTERS HOLDING ASIA JHB1D PTE. LTD.
Visa,high,curated,,40,0,AIMS CANADA VISA SPECIALIST PTE. LTD. | VISA BULK SHIPPING PTE. LTD. | CAN SURPASS GLOBAL VISA (SG) PTE. LTD.
Hermes,high,curated,,38,1,HERMES CAPITAL PTE. LTD. | EFG HERMES (SINGAPORE) PTE. LTD. | HERMES E-MESA PTE. LTD.
Milestone,high,entity_results,1.0,36,1,MILESTONE SEARCH PTE. LTD. | MILESTONE BUILDER PTE. LTD. | MILESTONE MARKETING AGENCY PTE. LTD.
Blackstone,high,entity_results,2.0,36,0,US BLACKSTONE GROUP PTE. LTD. | BLACKSTONE STRATEGIC ADVISORY PTE. LTD. | BLACKSTONE RECRUITMENT PTE. LTD.
Wilson,high,entity_results,1.0,35,1,WILSON BROTHERS & ASSOCIATES PTE. LTD. | WILSON & FRAZIER PTE. LTD. | WILSON AIRCON SERVICES PTE. LTD.
Singtel,high,entity_results,4.0,35,1,SINGTEL SOMERSET PTE. LTD. | SINGTEL AI ALLIANCE PTE. LTD. | SINGTEL INTERNATIONAL INVESTMENTS PRIVATE LIMITED
Tata,high,entity_results,1.0,35,1,TATA CAPITAL GROWTH FUND Limited Partnership | TATA TECHNOLOGIES PTE LTD | TATA CAPITAL PTE. LTD.
Zoom,high,curated,,34,0,ZOOM EXPRESS LOGISTICS PTE. LTD. | E ZOOM PTE. LTD. | ZOOM VISUAL PTE. LTD.
Oracle,high,entity_results,7.0,32,1,ORACLE FUNERAL PTE. LTD. | ORACLE MOTORS PTE. LTD. | ORACLE CORPORATION SINGAPORE PTE LTD
Vale,high,entity_results,2.0,30,1,PARK VALE LAND PTE. LTD. | GOLD VALE ASSETS PTE. LTD. | SEQUOIA VALE PTE. LTD.
Seiko,high,entity_results,1.0,28,1,"SEIKO ELECTRIC CO., LTD. (Singapore Branch) | SEIKO WALL COMPONENTS (S) PTE. LTD. | SEIKO M&E PTE. LTD."
Mitsui,high,curated,,28,1,MITSUI ASIA HEADQUARTERS PTE LTD | MITSUI & CO. GLOBAL LOGISTICS (ASIA) PTE. LTD. | MITSUI BUSSAN COMMODITIES (SINGAPORE) PTE. LTD.
Amazon,high,entity_results,10.0,27,0,AMAZON CONSULTANTS PTE. LTD. | AMAZON RIVER FUND MANAGEMENT PTE. LTD. | AMAZON MOBILE PTE. LTD.
Hyundai,high,entity_results,1.0,26,1,HYUNDAI ENGINEERING SINGAPORE PTE. LTD. | HYUNDAI ROTEM COMPANY (Singapore Branch) | HD HYUNDAI M&S INTERNATIONAL (SINGAPORE ) PTE. LTD.
Archer,high,entity_results,1.0,25,1,ARCHER MILE (PTE. LTD.) | ARCHER & SUN PTE. LTD. | GOLDEN ARCHER PTE LTD
Sumitomo,high,curated,,25,1,SUMITOMO CORPORATION CAPITAL ASIA PTE. LTD. | SUMITOMO ELECTRIC AUTOMOTIVE PRODUCTS (SINGAPORE) PTE LTD | SUMITOMO ELECTRIC INTERNATIONAL (SINGAPORE) PTE LTD
Shell,high,entity_results,11.0,25,1,SHELL CHEMICALS SERAYA PTE. LTD. | OCEAN SHELL PTE. LTD. | WAVES AND SHELL PTE. LTD.
Hitachi,high,entity_results,18.0,24,1,"HITACHI ZOSEN MARINE ENGINE CO., LTD. (Singapore Branch) | HITACHI ELEVATOR ASIA PTE. LTD. | HITACHI SYSTEMS INDIA PRIVATE LIMITED Branch Office Singapore"
Shopee,high,entity_results,16.0,24,0,SHOPEE INTERNATIONAL VI PRIVATE LIMITED | SHOPEE TRAVEL SG PRIVATE LIMITED | SHOPEE INTERNATIONAL V PRIVATE LIMITED
