entity,frequency,career_page
Atlas,2,https://www.atlashxm.com/careers
Acciona,2,
Hoya,2,https://www.hoyavision.com/uk/careers/
bitFlyer,2,https://cryptocurrencyjobs.co/startups/bitflyer/
Compass Group,2,https://www.compass.com/careers/
Tsuchiya,2,https://tsuchiya-kaban.com/pages/careers?srsltid=AfmBOooTChKnd1jP1gH1Uene-aPjJpGkon2O1YdBSf8DApPcU1PHxeQc
Yanmar,2,https://yanmarce.com/careers/
McDonald's,2,https://www.mcdonaldshoustonjobs.com/career-opportunities
Guntner,2,https://www.munters.com/en-us/careers/
Oaktree Capital,2,https://www.oaktreecapital.com/careers
KKR (Kohlberg Kravis Roberts),2,https://www.kkr.com/careers/student-careers
Auto & General,2,https://www.directauto.com/careers
Zensho,2,https://jobs.guidable.co/en/offers/7185
ABS,2,https://www.americanbatterysolutions.com/careers
Tim Hortons,2,https://www.workstream.us/j/d591ed89/tim-hortons?locale=en
Fosun,2,
Ritz-Carlton,2,https://careers.marriott.com/brands/the-ritz-carlton/
Getinge,2,
MAIF,2,https://www.mymarylandauto.com/site/careers/
Parker Hannifin,2,
Leica,2,https://leicacamerausa.com/careers/?srsltid=AfmBOoreyQirimqrtZUaVTRlY0T_TtQNWnIyRXiy7vySdnktx7e0xNP5
Thomson,2,https://www.thomsonreuters.com/en/careers
IGIS,2,https://oig.hhs.gov/careers/
Coca-Cola,2,https://www.reyescocacola.com/careers
ZPMC,2,https://zpmcindia.com/careers
Elizabeth Arden,2,https://corporate.elizabetharden.com/career-opportunities/TradeMktg030912-Mgr/
Singha,2,https://sofha.net/careers/
Kobelco,2,https://www.kobelco-in.com/company/careers/
William Grant & Sons,2,https://www.williamgrant.com/gb/careers/
Carrier,2,https://www.carrier.com/us/en/careers/
Rockwell Automation,2,
CEVA Logistics,2,
Saison,2,https://creditsaison.in/careers
Odfjell,2,https://www.odfjell.com/career/vacancies
Alliance One International,2,https://www.allianceoneinc.com/careers/
JustCo,2,https://www.topco.com/careers
Airtrunk,2,https://job-boards.greenhouse.io/airtrunk/jobs/7725596003
LGT,2,https://www.lgtwm.com/au-en/careers/career-opportunities
Resonac,2,
Yang Ming,2,https://e-solution.yangming.com/LocalSite/Local_News_Info_Rwd_Country.aspx?funcDTL_Key=316&func=&localver=NL
Pratt & Whitney,2,https://careers.rtx.com/global/en/pratt-whitney
TCL,2,https://us.tcl.com/pages/about-us?srsltid=AfmBOoobuWQFvjWlPH8CPXrDCpQtOruoG1BXlbojvhS7oG3bTStt-y2c
Mitsubishi Heavy Industries,2,https://www.mitsubishicars.com/careers
Telenor,2,https://www.telenorlinx.com/careers/
Swiss Life,2,
Interpublic Group,2,https://www.ipgphotonics.com/company/careers
Portcullis,2,https://portcullis.group/careers
Air Liquide,2,https://www.airliquide.com/join-us/careers-air-liquide
Citadel Securities,2,https://citadelsecurityusa.com/careers
M&G,2,https://www.mg-life.com/careers/
Marubeni,2,https://www.mitube.com/careers/
BW Offshore,2,https://bw-group.com/about-us/careers/
Autobacs,2,https://jobs.guidable.co/en/offers/11967
Matsui,2,https://www.msigusa.com/careers/
Amorepacific,2,https://job-boards.greenhouse.io/amorepacificusinc/jobs/4140619009
Marmon,2,https://www.marmonrail.com/careers
PSA,2,https://careers-psaairlines.icims.com/jobs/intro
Stolt-Nielsen,2,https://www.stoltseafarm.com/join-our-team
Konica Minolta,2,https://healthcare.konicaminolta.us/about-us/careers
Keppel Corporation,2,https://www.keppeldatacentres.com/contact/careers/
Blackstone/BCP,2,
Johnson Matthey,1,https://jobs.workinlithuania.com/companies/493-johnson-matthey
Coca-Cola/Nestle,1,https://www.coca-colacompany.com/careers
Adani,1,https://www.adaniairports.com/careers
JGC Corporation,1,https://www.jgc.com.ph/careers/
Toyo Seikan,1,https://www.jobthai.com/en/company/78087
K.I.T. Group,1,https://www.kit.org/about/careers/
Eaton/UPS,1,https://eaton.eightfold.ai/careers
George P. Johnson,1,
Ernst Russ,1,https://www.hodgsonruss.com/careers/our-difference
Nohara Group,1,https://polara.com/careers
Riello UPS,1,https://www.rielloupsamerica.com/job_postings
China Reinsurance,1,https://careers.munichre.com/en/location/china-jobs/3167/1814991/2
Princeton Advisory,1,https://careers.blackrock.com/location/princeton-jobs/45831/6252001-5101760-5102922/4
West of England,1,https://www.westofengland-ca.gov.uk/about-us/careers/
Red Eye Management,1,https://www.eyesofyork.com/about-us/careers
Ultrapure & Industrial Services,1,https://www.uswatercorp.com/careers/
Techwing,1,https://techwings.com/careers
Hexamine,1,https://www.zekelman.com/careers/
Korea Exchange,1,https://www.hkexgroup.com/About-HKEX/Careers-at-HKEX?sc_lang=en
Macnica,1,https://pivotandedge.recruitee.com/macnica-americas
Asia Pacific Wire & Cable,1,https://www.tpcwire.com/about-us/careers?__ptLanguage=en-US
OQ (Oman Oil Company),1,https://oq.com/en/careers
CME Group,1,https://www.gotocme.com/careers/
JET Semi-Con,1,https://www.jetmidwest.com/careers/
Lindt & Sprungli,1,https://www.lindt-spruengli.com/careers/vacancies
China Hospital Corporation,1,
Mars,1,https://careers.mars.com/us/en/albany-careers
Tenox,1,https://www.tenaxtech.com/careers
China Jingye,1,https://www.chinaconstruction.us/careers/working-at-cca/
Hirose,1,
NOR1,1,https://www.systemone.com/careers/
Blended,1,https://www.blendedbars.com/careers
Tohoku Electric Power,1,https://carbontracker.org/reports/tohoku-electric-power/
BNA,1,https://www.bna-inc.com/search-jobs/
Jiaxing Gas Group,1,https://markets.ft.com/data/equities/tearsheet/summary?s=9908:HKG.HZ
